fc.annotation...c..GeneID...,X15.bam,X18.bam,X2.bam,X33.bam
TNFRSF14-AS1,0,0,0,0
TNFRSF14,3,7,13,6
LOC100996583,0,0,0,1
PRXL2B,0,0,0,0
MMEL1,0,2,0,1
MMEL1-AS1,0,0,2,0
TTC34,1,0,0,2
LOC105378603,0,0,0,0
LOC105378602,0,0,0,0
LOC105378601,0,0,0,0
LOC112268220,0,0,0,0
LOC107985732,0,0,0,0
LOC105378600,0,0,0,0
LOC105378598,0,0,0,0
LOC107984904,0,0,0,0
LOC105378599,0,0,0,0
ACTRT2,0,0,0,0
PRDM16-DT,0,0,0,0
PRDM16,4,2,4,0
LOC100420339,0,0,0,0
MIR4251,0,0,0,0
LOC105378606,0,0,0,0
LOC107984909,0,0,0,0
LOC105378605,0,0,0,0
LOC105378604,0,0,0,0
ARHGEF16,0,1,0,1
MEGF6,4,3,3,7
LOC105378608,0,0,0,0
MIR551A,0,0,0,0
LOC105378607,0,0,0,0
TPRG1L,5,4,9,8
WRAP73,1,2,1,3
TP73,1,0,5,2
TP73-AS3,0,0,0,0
LOC105378609,0,0,0,0
TP73-AS1,1,0,1,1
CCDC27,0,0,0,1
SMIM1,14,14,2,2
LRRC47,1,3,1,5
RN7SL574P,0,0,0,0
CEP104,5,3,2,6
DFFB,1,2,2,2
LOC107984910,0,0,0,0
C1orf174,2,6,2,1
LINC01134,0,0,0,0
LINC01346,0,0,0,0
LINC01345,0,0,0,0
LINC02780,0,2,1,0
EEF1DP6,1,0,0,0
LINC01777,0,0,2,0
LOC105376674,0,0,0,0
LINC01646,0,0,0,0
LOC107985376,5,8,2,10
AJAP1,2,1,1,1
LINC02781,0,0,0,0
LOC102724429,0,0,0,0
LINC02782,0,0,0,0
LOC105376682,0,0,0,0
LOC107984911,0,0,0,0
LOC105376686,0,0,0,0
MIR4689,0,0,0,0
NPHP4,4,4,2,0
KCNAB2,9,15,42,24
CHD5,3,2,1,0
LOC112268285,0,0,0,0
LOC105376687,0,0,0,0
RPL22,22,23,43,54
LOC107985733,0,0,0,0
RNF207-AS1,0,0,0,0
RNF207,0,0,1,0
ICMT,2,0,0,0
ICMT-DT,0,0,0,0
HES3,0,0,0,1
GPR153,0,1,3,2
ACOT7,0,3,0,1
HES2,0,0,0,0
ESPN,2,1,1,3
MIR4252,0,0,0,0
TNFRSF25,0,0,1,0
PLEKHG5,1,0,1,2
NOL9,2,4,7,11
RNU6-731P,0,0,0,0
TAS1R1,0,0,0,1
LOC107984912,0,0,0,0
ZBTB48,1,2,5,4
KLHL21,1,3,1,3
LOC107984913,0,0,1,0
PHF13,0,1,2,1
THAP3,0,0,0,0
DNAJC11,2,2,2,4
LINC01672,0,0,0,1
CAMTA1-DT,0,0,0,0
CAMTA1,16,28,25,21
RPL37P9,0,0,0,0
RNU1-8P,0,0,0,0
LOC105376692,0,0,0,0
CAMTA1-AS2,0,0,0,0
CAMTA1-AS1,0,0,0,0
LOC105376691,0,0,0,0
LOC105376689,0,0,0,0
VAMP3,0,1,3,3
PER3,2,0,3,1
UTS2,0,1,0,3
TNFRSF9,1,0,1,1
TRUND-NNN4-1,0,0,0,0
PARK7,3,8,10,12
ERRFI1,0,0,0,0
RPL7AP18,0,0,0,0
LOC107984915,0,0,0,1
LOC100129776,0,0,0,0
RNU1-7P,0,0,0,0
LINC01714,0,0,0,0
LOC105376695,1,0,2,2
RNU6-991P,0,0,0,1
SLC45A1,0,1,2,1
RERE,35,37,34,39
RERE-AS1,0,0,0,0
SNORD128,0,0,0,0
RPL7P11,0,0,0,0
RPL7P7,0,0,0,0
RPL27P3,0,0,0,0
RPL23AP19,0,0,0,0
ENO1,13,24,41,19
MIR6728,0,0,0,0
ENO1-AS1,0,0,0,0
RNU6-304P,0,0,0,0
HMGN2P17,0,0,2,1
LOC112268261,0,1,0,0
CA6,0,0,0,2
RN7SL451P,0,0,0,0
SLC2A7,2,1,1,3
SLC2A5,0,1,0,0
GPR157,3,2,3,3
MIR34AHG,0,0,0,1
MIR34A,0,0,0,0
LNCTAM34A,0,0,0,0
H6PD,5,6,9,3
SPSB1,2,1,1,2
LINC02606,0,0,0,0
RNA5SP40,0,0,0,0
SLC25A33,3,4,6,5
RPL9P11,0,0,0,0
TMEM201,3,0,2,0
LOC105376712,0,0,0,0
PIK3CD,33,53,67,45
PIK3CD-AS1,0,0,0,0
RPL26P7,0,0,0,0
PIK3CD-AS2,0,0,0,0
CLSTN1,8,11,19,16
MZT1P1,0,0,0,0
CTNNBIP1,4,2,4,2
LOC105376717,0,0,0,0
LZIC,2,2,2,2
NMNAT1,2,2,2,4
RN7SKP269,0,0,0,0
TMEM274P,0,0,0,0
MIR5697,0,0,0,0
RBP7,1,1,2,2
UBE4B,6,10,22,16
RPL21P21,0,0,0,0
PGAM1P11,0,0,0,0
RNU6-828P,0,0,0,0
KIF1B,18,29,21,17
RNU6-37P,0,0,0,0
RN7SL731P,0,0,0,0
LOC105376725,0,0,0,0
PGD,4,9,10,9
CENPS-CORT,0,0,0,0
CENPS,0,0,0,0
CORT,0,0,0,0
DFFA,2,2,3,8
PEX14,10,6,11,15
RN7SL614P,0,0,0,0
CASZ1,4,9,5,7
LOC105376733,0,0,0,0
HSPE1P24,0,0,0,0
LOC105376735,0,0,0,0
C1orf127,0,0,0,0
CFL1P6,0,0,0,0
TARDBP,1,7,12,17
MASP2,1,1,0,0
SRM,1,2,5,4
EXOSC10,2,1,3,3
EXOSC10-AS1,0,0,0,0
MTOR,7,9,7,8
MTOR-AS1,0,0,0,0
RNU6-537P,0,0,0,0
ANGPTL7,0,0,0,0
RNU6-291P,0,0,0,0
RPL39P6,0,0,0,0
UBIAD1,5,3,2,0
UBE2V2P3,0,0,0,0
LOC105376737,0,0,0,0
LOC105376739,0,0,0,0
LOC105376740,0,0,0,0
MTCYBP45,0,0,0,0
DISP3,0,0,0,0
LOC112268221,0,0,0,0
LINC01647,0,0,0,0
FBXO2,0,0,0,0
FBXO44,0,0,2,3
FBXO6,1,0,1,1
MAD2L2,4,3,3,2
DRAXIN,1,1,0,1
AGTRAP,1,4,6,4
LOC101060126,0,0,0,0
C1orf167,0,0,0,0
C1orf167-AS1,0,0,0,0
MTHFR,2,1,4,5
CLCN6,2,0,0,5
NPPA-AS1,0,0,0,0
NPPA,0,0,0,0
NPPB,0,0,0,0
SBF1P2,0,0,0,0
RNU5E-1,0,0,0,0
RNU5E-4P,0,0,0,0
KIAA2013,5,2,5,5
PLOD1,1,4,4,5
MFN2,1,7,9,4
MIIP,2,1,4,0
MIR6729,0,0,0,0
RN7SL649P,0,0,0,0
TNFRSF8,1,2,1,4
RNU6-777P,0,0,0,0
RPL23AP89,0,0,0,0
MIR7846,0,0,0,0
TNFRSF1B,59,60,146,80
MIR4632,0,0,0,0
LOC107984917,0,1,3,0
RPL10P17,0,0,0,0
VPS13D,17,40,29,27
SNORA59A,0,0,0,0
LINC02766,1,0,0,0
DHRS3,6,5,8,5
RNU6ATAC18P,0,0,0,0
MIR6730,0,0,0,0
AADACL4,0,0,0,0
AADACL3,0,1,0,3
CFAP107,1,1,0,0
PRAMEF12,0,0,0,0
PRAMEF1,0,0,0,0
LINC01784,0,0,0,0
PRAMEF11,0,0,0,0
PRAMEF30P,0,0,0,0
HNRNPCL1,0,1,0,1
PRAMEF2,0,0,0,0
PRAMEF4,0,0,1,0
PRAMEF10,0,0,0,0
PRAMEF7,0,0,0,0
RNU6-1072P,0,0,0,0
PRAMEF29P,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF28P,0,0,0,0
PRAMEF27,0,0,0,0
HNRNPCL3,0,0,0,0
PRAMEF25,1,0,0,0
PRAMEF34P,0,0,0,0
PRAMEF35P,0,0,0,0
HNRNPCL2,0,0,0,0
PRAMEF36P,0,0,0,0
PRAMEF26,0,0,0,0
HNRNPCL4,0,0,0,0
PRAMEF9,1,0,1,1
PRAMEF13,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF31P,0,0,0,0
PRAMEF5,2,0,0,2
PRAMEF32P,0,0,0,0
RNU6-771P,0,0,0,0
PRAMEF8,0,0,1,0
PRAMEF33,0,0,0,0
PRAMEF15,1,0,0,0
PRAMEF14,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF17,0,0,0,0
PRAMEF20,0,0,0,1
LRRC38,1,0,1,0
LOC102724856,0,0,0,0
LOC107984918,0,0,0,0
BRWD1P1,0,0,0,0
PDPN,0,1,1,1
LOC107984919,0,0,0,0
RNA5SP41,0,0,0,0
LOC105378612,0,0,0,0
LOC105376756,0,0,0,0
PRDM2,13,26,56,28
KAZN,10,22,11,15
RNU6-1265P,0,0,0,0
LOC107985467,0,0,0,0
LOC107985468,0,0,0,0
KAZN-AS1,0,0,0,0
TBCAP2,0,0,0,0
LOC105376759,0,0,0,0
LOC107985469,0,0,0,0
TMEM51-AS1,0,0,1,0
TMEM51,2,2,1,2
TMEM51-AS2,0,0,0,0
MFFP1,0,0,0,0
ZBTB2P1,0,0,0,0
FHAD1,1,3,3,4
FHAD1-AS1,0,0,0,0
EFHD2-AS1,0,0,0,2
EFHD2,7,19,29,12
CTRC,0,0,3,0
CELA2A,0,0,1,1
LOC105376767,0,0,0,0
CELA2B,0,1,0,1
CASP9,3,3,4,3
DNAJC16,2,6,2,1
SCARNA21B,0,0,0,0
AGMAT,2,0,0,0
CHCHD2P6,0,0,0,1
RNU7-179P,0,0,0,0
CD24P1,0,0,0,1
DDI2,8,4,10,5
RSC1A1,0,0,0,0
PLEKHM2,9,12,15,15
SLC25A34,0,0,0,0
SLC25A34-AS1,1,0,0,0
TMEM82,0,0,0,0
FBLIM1,0,1,0,0
RPL12P14,0,0,1,1
UQCRHL,1,3,1,1
RPS16P1,1,1,6,3
SPEN-AS1,3,6,7,4
SPEN,12,14,26,20
ZBTB17,5,10,2,4
SRARP,0,0,0,0
HSPB7,0,0,0,0
CLCNKA,0,0,0,0
LOC440568,0,0,0,0
CLCNKB,0,0,0,0
FAM131C,0,0,0,0
EPHA2,0,1,0,0
EPHA2-AS1,1,1,0,2
ARHGEF19,0,1,2,1
ANO7L1,0,0,0,0
CPLANE2,0,1,0,1
MT1XP1,1,1,1,5
FBXO42,5,11,19,12
SZRD1,2,2,8,3
RPL22P3,0,0,0,0
SPATA21,0,2,1,1
NECAP2,5,4,10,7
LINC01772,1,4,1,4
CROCCP3,1,2,0,1
RNU1-1,1,1,1,0
TRN-GTT5-1,0,0,0,0
LINC01783,0,0,0,0
RNU1-6P,0,0,0,0
TRE-TTC4-1,0,0,0,0
TRG-CCC1-1,0,0,0,0
TRV-CAC11-1,0,0,0,0
PDE4DIPP8,0,0,0,0
LOC101056699,0,0,0,0
NBPF1,1,7,1,1
LOC105376794,0,0,0,0
CROCCP2,0,1,0,0
MST1P2,0,1,0,0
LOC107985736,0,1,0,0
RNU1-3,0,0,0,0
TRG-CCC4-1,0,0,0,0
EIF1AXP1,11,5,19,12
ESPNP,0,1,1,0
TRV-CAC13-1,0,0,0,0
TRG-CCC5-1,0,0,0,0
RNU1-4,1,0,0,1
CROCCP4,0,0,0,0
MST1L,0,0,0,0
PDE4DIPP9,1,2,0,0
MIR3675,0,0,0,0
TRV-CAC11-2,0,0,0,0
TRG-CCC1-2,0,0,0,0
LOC112267871,0,0,0,0
TRE-TTC3-1,0,0,0,0
RNU1-5P,0,0,0,0
TRN-GTT13-1,0,0,0,0
LOC107985101,0,0,0,0
LOC105376805,0,0,0,0
TRN-GTT4-1,0,0,0,0
RNU1-2,0,0,1,1
CROCC,3,3,2,2
MFAP2,0,0,0,1
LOC105376806,0,0,0,0
ATP13A2,1,0,2,1
SDHB,3,8,12,12
PADI2,3,6,7,2
LOC105376808,0,0,0,0
LINC02783,0,0,0,1
PADI1,0,0,0,2
PADI3,0,1,0,0
MIR3972,0,0,0,0
PADI4,17,15,6,9
PADI6,0,0,1,0
RCC2,2,4,4,4
RCC2-AS1,0,0,0,0
ARHGEF10L,1,4,2,9
LINC02810,1,0,0,0
ACTL8,2,0,0,0
LOC105376809,0,0,0,2
LOC105376812,0,0,0,0
LINC01654,1,0,0,0
IGSF21,2,3,2,2
IGSF21-AS1,0,0,0,0
KLHDC7A,0,1,0,0
DYNLL1P3,0,0,0,0
PAX7,3,3,0,2
TAS1R2,0,0,0,0
ALDH4A1,0,0,2,1
MIR4695,0,0,0,0
MIR1290,0,0,0,0
IFFO2,0,3,8,3
LOC105376815,1,2,0,3
UBR4,10,21,24,25
EMC1-AS1,0,0,0,1
EMC1,0,0,0,3
MRTO4,1,0,1,3
AKR7L,0,0,0,1
AKR7A3,1,1,1,0
LOC100506730,0,0,0,0
AKR7A2,2,1,2,2
RNU6-1099P,0,0,0,0
SLC66A1,1,1,1,1
CAPZB,48,65,96,82
RN7SL277P,0,0,0,0
LOC105376819,0,0,0,1
LOC105376818,0,0,0,0
RNU4-28P,0,0,0,0
LOC105376817,0,0,0,0
MICOS10-DT,0,1,0,0
MICOS10-NBL1,1,0,0,0
MICOS10,0,0,0,0
RPS14P3,0,0,0,0
NBL1,0,0,0,0
HTR6,1,0,0,0
TMCO4,3,7,3,7
RNF186,0,0,0,0
LOC105376823,0,0,1,2
OTUD3,0,1,5,0
PLA2G2E,0,0,0,0
RN7SL304P,0,0,0,0
PLA2G2A,0,0,0,0
PLA2G5,0,3,0,1
LOC100419911,0,0,0,0
PLA2G2D,0,0,0,0
PLA2G2F,0,0,1,0
LOC117779438,0,0,0,0
PLA2G2C,1,0,0,0
UBXN10,0,0,0,0
LOC105376825,0,0,0,0
LOC105376826,0,0,0,0
LINC01757,0,0,0,0
LOC105376828,0,0,0,0
VWA5B1,1,2,2,1
LINC01141,1,1,1,3
CAMK2N1,1,1,1,2
MUL1,0,3,2,0
RPS4XP4,0,0,0,0
FAM43B,0,0,0,0
CDA,3,12,15,6
PINK1,0,0,0,0
MIR6084,0,0,0,0
PINK1-AS,0,0,0,0
DDOST,1,4,10,1
KIF17,2,1,1,2
SH2D5,0,0,0,0
HP1BP3,19,18,43,29
EIF4G3,27,47,38,34
RNU7-200P,0,0,0,0
LOC105376830,0,0,0,0
LOC105376829,0,0,0,0
MIR1256,0,0,0,0
RPS15AP6,0,0,0,0
HSPE1P27,0,0,0,0
ECE1,21,17,47,17
ECE1-AS1,0,0,0,0
PPP1R11P1,0,0,0,0
PDE4DIPP10,0,0,0,0
LOC105376832,0,0,0,0
NBPF2P,1,0,0,0
HS6ST1P1,0,0,0,0
CROCCP5,0,0,0,0
NBPF3,1,2,1,3
PFN1P10,0,0,0,0
ALPL,19,10,6,2
LINC02596,0,1,0,1
RAP1GAP,0,2,2,0
USP48,21,21,21,35
LDLRAD2,0,0,0,0
HSPG2,0,3,1,3
RPL21P29,0,0,0,0
CELA3B,0,0,0,0
RN7SL386P,0,0,0,0
RNU6-1022P,0,0,0,0
CELA3A,0,0,0,0
RN7SL186P,0,0,0,0
RNU6-776P,0,0,0,0
LINC01635,0,0,0,0
LINC00339,1,1,0,1
CDC42-AS1,0,0,0,0
CDC42,29,43,100,38
MPHOSPH6P1,0,0,0,0
WNT4,0,0,1,0
LOC105376845,0,0,0,0
LOC105376850,0,0,0,0
LOC107985377,0,0,0,0
MIR4418,0,0,0,0
LOC105376856,0,1,0,0
ZBTB40,7,9,5,11
EPHA8,2,0,1,0
MIR6127,0,0,0,0
C1QA,0,0,0,0
C1QC,0,0,0,0
C1QB,0,0,0,0
EPHB2,4,6,3,1
MIR4684,0,0,0,0
MIR4253,0,0,0,0
LACTBL1,0,0,0,0
TEX46,0,1,0,1
KDM1A,4,3,3,6
MIR3115,0,0,0,0
LUZP1,9,13,17,10
RNU6-514P,0,0,0,0
RNU6-135P,0,0,0,0
HTR1D,1,0,1,1
RPL29P6,0,0,0,0
LINC01355,0,0,0,0
HNRNPR,5,16,17,23
ZNF436,0,1,0,0
ZNF436-AS1,0,0,0,0
TCEA3,0,1,0,1
ASAP3,1,2,0,2
E2F2,9,13,4,19
LOC101928163,0,0,0,0
LOC105376859,0,1,0,0
ID3,0,0,3,0
LOC107984928,1,0,0,0
MDS2,1,1,0,0
LOC729856,0,0,0,0
RPL11,16,37,66,38
ELOA,1,2,2,3
ELOA-AS1,2,4,3,3
PITHD1,6,9,14,9
LOC105376860,0,0,0,0
LYPLA2,0,3,3,6
GALE,0,0,1,0
HMGCL,1,2,4,2
LOC105376861,0,0,0,2
FUCA1,0,2,0,8
CNR2,1,4,1,6
BTBD6P1,0,0,0,0
LOC107984929,0,0,0,0
MIR378F,0,0,0,0
H3P1,1,0,0,0
PNRC2,1,5,9,4
SRSF10,8,21,32,27
LOC105378615,0,0,0,0
RPL36P5,0,0,0,0
LOC105376863,0,0,0,0
LOC107984931,0,0,0,1
MYOM3,0,0,0,1
MYOM3-AS1,0,0,0,0
LOC105376864,0,0,0,0
IL22RA1,0,2,0,0
IFNLR1,0,4,1,1
LINC02800,1,0,0,0
GRHL3-AS1,0,0,0,0
GRHL3,0,0,0,1
STPG1,0,1,0,1
NIPAL3,5,5,9,13
RCAN3AS,0,0,0,0
RCAN3,12,7,10,17
NCMAP-DT,0,0,0,0
NCMAP,0,1,1,4
RPL26P8,0,0,0,0
SRRM1,9,26,45,49
CLIC4,2,9,3,7
RNU6-1208P,0,0,0,0
LOC105376876,0,0,1,0
RUNX3,30,55,156,101
MIR6731,0,0,0,0
LOC107984932,0,0,0,0
RUNX3-AS1,0,0,0,0
MIR4425,0,0,0,0
LINC02793,0,0,0,0
IFITM3P7,0,0,0,0
SYF2,4,7,20,6
RSRP1,12,36,35,36
LOC105376882,0,0,0,0
RHD,0,0,0,0
SDHDP6,0,0,0,0
TMEM50A,5,9,3,1
RHCE,1,3,1,5
SDHDP7,0,0,0,0
MACO1,6,18,23,17
LDLRAP1,4,9,4,22
MAN1C1,5,7,5,6
SELENON,0,0,2,6
MTFR1L,0,0,0,0
LOC646471,0,0,0,0
AUNIP,0,1,1,0
PAQR7,1,0,5,2
STMN1,2,2,2,5
SNRPFP2,0,0,0,0
RPL39P7,0,0,0,0
MIR3917,0,0,0,0
LOC105376885,0,0,0,0
PAFAH2,1,0,7,2
RNU6-110P,0,0,0,0
LOC101928216,0,0,0,1
EXTL1,0,0,0,0
SLC30A2,0,0,0,0
LOC105376910,0,0,0,0
TRIM63,0,0,0,2
PDIK1L,0,0,2,1
LOC105376886,0,0,0,0
FAM110D,1,0,0,0
C1orf232,0,0,0,0
ZNF593OS,0,0,0,0
ZNF593,0,0,0,0
CNKSR1,0,0,0,0
CATSPER4,0,0,0,0
LOC100420494,0,0,0,0
ZPLD2P,0,0,0,0
CEP85,1,4,1,5
MRPS6P1,0,0,0,0
SH3BGRL3,74,88,148,86
UBXN11,1,1,2,4
CD52,11,11,30,33
CRYBG2,2,4,3,2
RPL34P4,0,0,0,0
ZNF683,0,1,3,0
LIN28A,0,0,0,0
DHDDS,2,0,7,5
RPL17P9,0,0,0,0
DHDDS-AS1,0,0,0,0
HMGN2,0,5,6,4
DPPA2P2,1,1,0,1
RPS6KA1,12,13,21,7
MIR1976,0,0,0,0
RN7SL679P,0,0,0,0
LOC105376888,0,1,0,0
LOC101928728,0,0,0,0
ARID1A,17,34,40,35
PIGV,1,0,1,0
RN7SL165P,0,0,0,1
ZDHHC18,7,11,12,5
SFN,0,1,0,0
GPN2,2,0,1,4
GPATCH3,0,1,1,3
NUDC,4,5,6,4
NR0B2,0,0,0,0
KDF1,0,0,0,2
RPL12P13,0,0,0,0
RPL32P6,0,0,0,0
OSTCP2,0,0,0,0
TRNP1,0,1,0,0
TENT5B,0,0,2,0
LOC101928391,0,3,0,0
SLC9A1,2,2,8,3
LOC102723760,0,0,0,0
RPL18AP5,0,0,0,0
CHCHD3P3,0,0,0,0
NPM1P39,0,0,0,0
SNRPEP7,0,0,0,0
WDTC1-DT,1,0,0,0
WDTC1,9,15,11,11
TMEM222,1,0,1,0
ACTG1P20,0,0,0,0
RNU6-48P,0,0,0,0
SYTL1,2,3,4,2
MAP3K6,0,1,2,0
FCN3,0,0,0,0
CD164L2,0,0,0,0
GPR3,0,0,0,0
WASF2,87,90,93,95
LOC105376892,0,0,0,1
AHDC1,2,4,3,4
FGR,23,21,83,30
LOC729973,0,0,2,2
LINC02574,0,0,0,0
IFI6,4,3,7,3
RNU6-949P,0,0,0,0
CHMP1AP1,0,0,0,0
RNU6-424P,0,0,0,0
FAM76A,2,1,5,4
RPEP3,0,0,0,0
STX12,1,11,20,10
RNU6-1245P,0,0,0,0
PPP1R8,1,5,8,3
SCARNA1,0,0,0,0
THEMIS2,21,21,45,13
RPA2,13,12,16,10
SMPDL3B,0,0,1,0
XKR8,1,1,3,1
EYA3,7,5,9,10
RN7SL559P,0,0,0,0
SPCS2P4,0,1,6,2
LOC100131223,0,0,0,0
RNU6-176P,0,0,0,0
RNU7-29P,0,0,0,0
PTAFR,12,9,17,5
DNAJC8,4,9,9,8
ATP5IF1,2,2,1,7
SESN2,1,4,9,8
MED18,3,1,0,0
PHACTR4,14,10,19,22
RNU6ATAC27P,0,0,0,0
SNHG3,0,0,0,0
RCC1,1,3,0,2
SNORA73A,0,0,0,0
SNORA73B,0,0,0,0
PRDX3P2,0,0,0,0
TRNAU1AP,2,3,4,3
SNHG12,1,4,2,4
SNORD99,0,0,0,0
SNORA61,0,0,0,0
SNORA44,0,0,0,0
SNORA16A,0,0,0,0
RAB42,0,0,0,0
TAF12,4,4,6,8
TAF12-DT,0,0,0,0
RNU11,0,0,0,0
GMEB1,8,11,5,5
YTHDF2,5,5,17,10
OPRD1,1,2,1,2
EPB41,82,124,98,127
RPL27P4,0,0,0,0
TMEM200B,0,1,0,1
SRSF4,13,34,38,27
MECR,1,0,0,0
PTPRU,0,1,1,4
LINC01756,0,1,0,0
LOC107984933,1,1,1,0
LOC107984934,2,0,1,1
LINC01648,1,0,0,0
LOC105378617,0,0,0,0
LOC105378618,0,0,0,0
MATN1,0,0,1,0
MATN1-AS1,0,1,0,1
LAPTM5,22,42,78,48
MIR4420,0,0,0,0
LOC105378620,0,0,0,0
LOC105378621,0,0,0,0
LINC01778,0,0,0,0
RN7SKP91,0,0,0,0
LOC400748,0,0,0,0
SDC3,1,0,1,0
RN7SL371P,0,0,0,0
PUM1,18,30,46,30
SNORD103A,0,0,0,0
SNORD103B,0,0,0,0
SNORD103C,0,0,0,0
LOC107985097,0,0,0,0
SELENOWP1,0,0,0,0
RPL21P22,0,0,0,0
LOC107984935,0,0,0,0
NKAIN1,2,0,1,3
SNRNP40,3,3,4,4
ZCCHC17,4,7,8,7
FABP3,1,0,0,0
LOC105378623,0,0,0,0
LOC107985470,0,0,0,0
SERINC2,0,0,0,0
LOC105378625,0,0,0,0
LOC105379772,0,0,0,0
LOC441880,0,0,0,0
RNU6-40P,0,0,0,0
LDC1P,0,0,0,0
LINC01226,0,0,0,0
LOC105378626,0,0,0,0
TINAGL1,0,0,0,0
HCRTR1,0,0,0,0
PEF1,0,0,1,0
PEF1-AS1,0,1,0,0
LOC105378628,0,0,0,0
COL16A1,1,0,0,1
LOC101929444,0,0,0,0
ADGRB2,0,1,0,0
MIR4254,0,0,0,0
SPOCD1,0,0,1,2
PTP4A2,46,71,121,81
KHDRBS1,11,20,44,28
TMEM39B,1,2,3,2
MIR5585,0,0,0,0
KPNA6,15,22,41,19
TXLNA,0,4,4,2
CCDC28B,0,0,1,0
TMEM234,0,0,1,0
IQCC,0,0,0,0
